25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForMmiInitiate(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForNewRingingConnection(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForNumberInfo(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForPreciseCallStateChanged(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForRedirectedNumberInfo(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForResendIncallMute(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForRingbackTone(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForServiceStateChanged(android.os.Handler,int,java.lang.Object)
25.08 05:48:49  | V |     public abstract void com.android.internal.telephony.Phone.registerForSignalInfo(android.os.Handler,int,java.lang.Object)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.registerForSubscriptionInfoReady(android.os.Handler,int,java.lang.Object)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.registerForSuppServiceFailed(android.os.Handler,int,java.lang.Object)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.registerForSuppServiceNotification(android.os.Handler,int,java.lang.Object)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.registerForT53AudioControlInfo(android.os.Handler,int,java.lang.Object)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.registerForUnknownConnection(android.os.Handler,int,java.lang.Object)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.rejectCall() throws com.android.internal.telephony.CallStateException
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.selectNetworkManually(com.android.internal.telephony.gsm.NetworkInfo,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.sendBurstDtmf(java.lang.String,int,int,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.sendDtmf(char)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.sendUssdResponse(java.lang.String)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setBandMode(int,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setCBMessage(boolean,char,int,short[])
25.08 05:48:50  | V |     public abstract boolean com.android.internal.telephony.Phone.setCSCCbConfig(boolean)
25.08 05:48:50  | V |     public abstract boolean com.android.internal.telephony.Phone.setCallBarringOption(boolean,java.lang.String,java.lang.String,int,android.os.Message)
25.08 05:48:50  | V |     public abstract boolean com.android.internal.telephony.Phone.setCallBarringOption(boolean,java.lang.String,java.lang.String,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setCallForwardingOption(int,int,java.lang.String,int,int,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setCallForwardingOption(int,int,java.lang.String,int,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setCallWaiting(boolean,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setCdmaRoamingPreference(int,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setCdmaSubscription(int,android.os.Message)
25.08 05:48:50  | V |     public abstract void com.android.internal.telephony.Phone.setCellBroadcastSmsConfig(int[],android.os.Message)
